Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PIVOT-Seed123,0.01,0.539624 ± 0.000000,0.493937,0.627154,69533.44,2573.19,19776.17,43213.05,12.164702589223234,82.20505126741895,159.36
WN18RR,PIVOT-Seed123,0.05,0.562686 ± 0.000000,0.511487,0.662253,96560.48,3489.7,46335.54,41954.09,16.893016095171447,59.19606033441425,722.5
WN18RR,PIVOT-Seed123,0.1,0.561848 ± 0.000000,0.510211,0.661295,158504.4,4841.96,103240.59,44807.9,27.72995101469559,36.062090389919774,1469.79
WN18RR,PIVOT-Seed123,0.2,0.558322 ± 0.000000,0.507339,0.657147,280356.08,8648.53,210004.46,54270.01,49.04759972008398,20.388357548728745,3129.51
