budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.539895,0.494576,0.627154,68206.46,2587.93,18772.87,43019.85,160.37,650.6709370613098,123,44.48259006551579,22.48070533948583
0.05,0.562577,0.511327,0.662412,107240.95,3412.46,56294.22,43004.09,730.13,667.1181514263153,123,28.291431584669848,35.34639090309822
0.1,0.56177,0.510211,0.661136,179179.53,4676.52,121497.4,47542.3,1487.09,761.6075031757355,123,16.93273779655522,59.05719512195122
0.2,0.558267,0.507339,0.656988,308542.22,7781.51,248704.45,45234.46,3163.93,905.0919756889343,123,9.83333820570812,101.69486486486485
