Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PPR-only,0.01,0.539895 ± 0.000000,0.494576,0.627154,68206.46,2587.93,18772.87,43019.85,22.48070533948583,44.48259006551579,160.37
WN18RR,PPR-only,0.05,0.562577 ± 0.000000,0.511327,0.662412,107240.95,3412.46,56294.22,43004.09,35.34639090309822,28.291431584669848,730.13
WN18RR,PPR-only,0.1,0.561770 ± 0.000000,0.510211,0.661136,179179.53,4676.52,121497.4,47542.3,59.05719512195122,16.93273779655522,1487.09
WN18RR,PPR-only,0.2,0.558267 ± 0.000000,0.507339,0.656988,308542.22,7781.51,248704.45,45234.46,101.69486486486485,9.83333820570812,3163.93
