Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PIVOT-MLP,0.01,0.490566 ± 0.000000,0.455648,0.55919,71836.43,2499.48,22953.55,41900.78,12.567604968509446,79.56965567470434,135.9
WN18RR,PIVOT-MLP,0.05,0.502278 ± 0.000000,0.462987,0.583759,100412.31,3444.68,47725.99,44161.55,17.566884184744577,56.925291331311875,750.21
WN18RR,PIVOT-MLP,0.1,0.564748 ± 0.000000,0.512763,0.663689,166134.98,5105.52,104757.16,50290.34,29.064902029391185,34.4057584983006,1469.79
