budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.490566,0.455648,0.55919,71836.43,2499.48,22953.55,41900.78,135.9,1306.5073862075806,1234,79.56965567470434,12.567604968509446
0.05,0.502278,0.462987,0.583759,100412.31,3444.68,47725.99,44161.55,750.21,1363.8106224536896,1234,56.925291331311875,17.566884184744577
0.1,0.564748,0.512763,0.663689,166134.98,5105.52,104757.16,50290.34,1469.79,1426.085739850998,1234,34.4057584983006,29.064902029391185
