budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.532647,0.473031,0.638219,72746.36,1736.69,25456.55,41846.44,818.84,95.45122838020325,42,50.02312143178023,19.990755702115965
0.05,0.532196,0.470724,0.636267,163292.08,3715.62,116173.95,38205.65,3533.84,201.21383690834045,42,22.285220446698947,44.87278922780983
0.1,0.531643,0.470724,0.63467,271566.78,5494.62,220062.93,39621.04,5159.67,321.3288586139679,42,13.400018956663253,74.62676009892829
0.2,0.525944,0.464691,0.628815,454158.4,7657.27,401891.16,36663.12,6963.57,524.7107152938843,42,8.01262290865918,124.80307776861775
