Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
nell,PPR-only,0.01,0.532647 ± 0.000000,0.473031,0.638219,72746.36,1736.69,25456.55,41846.44,19.990755702115965,50.02312143178023,818.84
nell,PPR-only,0.05,0.532196 ± 0.000000,0.470724,0.636267,163292.08,3715.62,116173.95,38205.65,44.87278922780983,22.285220446698947,3533.84
nell,PPR-only,0.1,0.531643 ± 0.000000,0.470724,0.63467,271566.78,5494.62,220062.93,39621.04,74.62676009892829,13.400018956663253,5159.67
nell,PPR-only,0.2,0.525944 ± 0.000000,0.464691,0.628815,454158.4,7657.27,401891.16,36663.12,124.80307776861775,8.01262290865918,6963.57
