Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
nell,PPR-only,0.01,0.537572 ± 0.000000,0.480128,0.633073,72735.82,1737.61,25369.69,41807.56,19.987859302006047,50.030370180744505,818.84
nell,PPR-only,0.05,0.540171 ± 0.000000,0.478531,0.636089,163499.26,3746.25,116310.58,38214.33,44.929722451222865,22.25698146890695,3533.84
nell,PPR-only,0.1,0.538735 ± 0.000000,0.476934,0.635912,274439.29,5520.45,220600.22,41319.77,75.41612805715856,13.259763206645813,5159.67
nell,PPR-only,0.2,0.535398 ± 0.000000,0.473918,0.633073,455089.51,7565.96,402178.41,37474.76,125.05894751305304,7.9962291374283705,6963.57
