budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.537572,0.480128,0.633073,72735.82,1737.61,25369.69,41807.56,818.84,98.87112736701965,1234,50.030370180744505,19.987859302006047
0.05,0.540171,0.478531,0.636089,163499.26,3746.25,116310.58,38214.33,3533.84,200.98210263252258,1234,22.25698146890695,44.929722451222865
0.1,0.538735,0.476934,0.635912,274439.29,5520.45,220600.22,41319.77,5159.67,323.2248682975769,1234,13.259763206645813,75.41612805715856
0.2,0.535398,0.473918,0.633073,455089.51,7565.96,402178.41,37474.76,6963.57,522.3289339542389,1234,7.9962291374283705,125.05894751305304
