Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
nell,PPR-only,0.01,0.537964 ± 0.000000,0.475515,0.638573,74251.07,1747.09,25596.0,42984.57,20.404251167903272,49.009394746769296,818.84
nell,PPR-only,0.05,0.538729 ± 0.000000,0.473918,0.640703,159648.55,3718.31,115876.85,34864.64,43.87154438032426,22.79381804595156,3533.84
nell,PPR-only,0.1,0.535946 ± 0.000000,0.472143,0.639106,272687.72,5495.02,220102.44,40628.23,74.93479527342676,13.344935371493811,5159.67
nell,PPR-only,0.2,0.527745 ± 0.000000,0.463449,0.632718,454946.92,7665.4,402316.29,36878.04,125.01976367133828,7.99873532499132,6963.57
