budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.537964,0.475515,0.638573,74251.07,1747.09,25596.0,42984.57,818.84,103.51454496383667,123,49.009394746769296,20.404251167903272
0.05,0.538729,0.473918,0.640703,159648.55,3718.31,115876.85,34864.64,3533.84,196.55044794082642,123,22.79381804595156,43.87154438032426
0.1,0.535946,0.472143,0.639106,272687.72,5495.02,220102.44,40628.23,5159.67,321.8887867927551,123,13.344935371493811,74.93479527342676
0.2,0.527745,0.463449,0.632718,454946.92,7665.4,402316.29,36878.04,6963.57,522.8453986644745,123,7.99873532499132,125.01976367133828
