config,method,mrr_mean,mrr_std,n_seeds,delta_vs_clean,retention_pct
clean,hybrid,0.5683953333333333,0.0015450017259969,3,0.0,100.0
clean,ppr,0.563815,0.001723996519718,3,0.0,100.0
clean,rerank,0.5684939999999999,0.0020552622703684,3,0.0,100.0
del05,hybrid,0.5148123333333333,0.0029154960698538,3,-0.0535829999999999,90.57293456549608
del05,ppr,0.5113,0.002569885016883,3,-0.0525149999999999,90.6857745891826
del05,rerank,0.5147146666666667,0.0028662034703302,3,-0.0537793333333332,90.54003501649387
del10,hybrid,0.4761096666666666,0.0027752769831736,3,-0.0922856666666666,83.7638240051232
del10,ppr,0.4732886666666666,0.0031384235426935,3,-0.0905263333333333,83.9439650712852
del10,rerank,0.4768913333333333,0.0034010434183252,3,-0.0916026666666666,83.886783912114
del20,hybrid,0.4202853333333333,0.0007340697060452,3,-0.1481099999999999,73.94243208658763
del20,ppr,0.4158953333333333,0.0011565817452014,3,-0.1479196666666666,73.76450313193749
del20,rerank,0.4201766666666666,0.0017209675573157,3,-0.1483173333333333,73.91048395702799
reldel,hybrid,0.5660376666666667,0.0011556060459054,3,-0.0023576666666665,99.58520654051816
reldel,ppr,0.5615676666666666,0.0014344916637378,3,-0.0022473333333333,99.60140589850688
reldel,rerank,0.5663033333333333,0.002124163207791,3,-0.0021906666666666,99.6146543909581
