Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.299,0.006164414002968982,0.266,0.0,0.032999999999999974,0.299,0.006164414002968982,0.266,0.0,0.032999999999999974
50,0.43933333333333335,0.002624669291337273,0.373,0.0,0.06633333333333334,0.43933333333333335,0.002624669291337273,0.373,0.0,0.06633333333333334
100,0.5333333333333333,0.0037712361663282566,0.438,0.0,0.09533333333333337,0.5333333333333333,0.0037712361663282566,0.438,0.0,0.09533333333333337
200,0.6196666666666667,0.005906681715556456,0.511,0.0,0.10866666666666665,0.6196666666666667,0.005906681715556456,0.511,0.0,0.10866666666666665
500,0.7166666666666667,0.007586537784494035,0.637,0.0,0.07966666666666662,0.7166666666666667,0.007586537784494035,0.637,0.0,0.07966666666666662
