Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PIVOT-FP32,0.01,0.541268 ± 0.001387,0.4963306666666667,0.6264626666666667,68370.81333333334,2525.5533333333333,19097.34,42671.74333333333,22.53487585146122,44.42001824306653,160.37
WN18RR,PIVOT-FP32,0.05,0.564279 ± 0.001476,0.5125503333333333,0.6634756666666667,109069.51333333335,3443.19,56843.76,44170.119999999995,35.94908152054494,27.84294286301032,730.13
WN18RR,PIVOT-FP32,0.1,0.563791 ± 0.001758,0.5118593333333333,0.6627846666666667,184486.32666666666,4984.02,123238.37,50726.40333333334,60.806304108987035,16.474452739975646,1487.09
WN18RR,PIVOT-FP32,0.2,0.559995 ± 0.001545,0.508562,0.6567753333333334,319725.75333333336,8033.5,255822.34,48501.86666666667,105.38093386068995,9.49531459568904,3163.93
