Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.2743333333333333,0.013274871834493237,0.266,0.0,0.008333333333333323,0.2743333333333333,0.013274871834493237,0.266,0.0,0.008333333333333323
50,0.41733333333333333,0.010498677165349092,0.373,0.0,0.044333333333333315,0.41733333333333333,0.010498677165349092,0.373,0.0,0.044333333333333315
100,0.5156666666666667,0.0030912061651652374,0.438,0.0,0.07766666666666668,0.5156666666666667,0.0030912061651652374,0.438,0.0,0.07766666666666668
200,0.628,0.0077888809636986215,0.511,0.0,0.11699999999999999,0.628,0.0077888809636986215,0.511,0.0,0.11699999999999999
500,0.7106666666666666,0.005792715732327594,0.637,0.0,0.07366666666666662,0.7106666666666666,0.005792715732327594,0.637,0.0,0.07366666666666662
