Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.2806666666666667,0.002624669291337247,0.266,0.0,0.014666666666666642,0.2806666666666667,0.002624669291337247,0.266,0.0,0.014666666666666642
50,0.42133333333333334,0.0038586123009300786,0.373,0.0,0.04833333333333332,0.42133333333333334,0.0038586123009300786,0.373,0.0,0.04833333333333332
100,0.49499999999999994,0.011343133018115712,0.438,0.0,0.056999999999999995,0.49499999999999994,0.011343133018115712,0.438,0.0,0.056999999999999995
200,0.5856666666666666,0.010143416036468634,0.511,0.0,0.07466666666666662,0.5856666666666666,0.010143416036468634,0.511,0.0,0.07466666666666662
500,0.6883333333333334,0.0032998316455371763,0.637,0.0,0.05133333333333331,0.6883333333333334,0.0032998316455371763,0.637,0.0,0.05133333333333331
