Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.301,0.0037416573867739447,0.266,0.0,0.034999999999999976,0.301,0.0037416573867739447,0.266,0.0,0.034999999999999976
50,0.4366666666666667,0.014383632673594292,0.373,0.0,0.06366666666666666,0.4366666666666667,0.014383632673594292,0.373,0.0,0.06366666666666666
100,0.5299999999999999,0.011575836902790236,0.438,0.0,0.09200000000000003,0.5299999999999999,0.011575836902790236,0.438,0.0,0.09200000000000003
200,0.6146666666666666,0.00694422221866656,0.511,0.0,0.10366666666666664,0.6146666666666666,0.00694422221866656,0.511,0.0,0.10366666666666664
500,0.7003333333333334,0.0041096093353126546,0.637,0.0,0.06333333333333328,0.7003333333333334,0.0041096093353126546,0.637,0.0,0.06333333333333328
