Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.3036666666666667,0.003399346342395193,0.266,0.0,0.03766666666666665,0.3036666666666667,0.003399346342395193,0.266,0.0,0.03766666666666665
50,0.45366666666666666,0.006128258770283417,0.373,0.0,0.08066666666666668,0.45366666666666666,0.006128258770283417,0.373,0.0,0.08066666666666668
100,0.526,0.00748331477354789,0.438,0.0,0.08800000000000002,0.526,0.00748331477354789,0.438,0.0,0.08800000000000002
200,0.631,0.013366625103842292,0.511,0.0,0.12,0.631,0.013366625103842292,0.511,0.0,0.12
500,0.7123333333333334,0.004988876515698593,0.637,0.0,0.0753333333333333,0.7123333333333334,0.004988876515698593,0.637,0.0,0.0753333333333333
