Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.25633333333333336,0.008178562764256872,0.266,0.0,-0.009666666666666676,0.25633333333333336,0.008178562764256872,0.266,0.0,-0.009666666666666676
50,0.415,0.0065319726474218145,0.373,0.0,0.04199999999999998,0.415,0.0065319726474218145,0.373,0.0,0.04199999999999998
100,0.48866666666666664,0.006649979114420007,0.438,0.0,0.05066666666666666,0.48866666666666664,0.006649979114420007,0.438,0.0,0.05066666666666666
200,0.5786666666666666,0.0024944382578492965,0.511,0.0,0.06766666666666661,0.5786666666666666,0.0024944382578492965,0.511,0.0,0.06766666666666661
500,0.6646666666666667,0.008178562764256872,0.637,0.0,0.02766666666666669,0.6646666666666667,0.008178562764256872,0.637,0.0,0.02766666666666669
