Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.26433333333333336,0.0012472191289246482,0.266,0.0,-0.001666666666666668,0.26433333333333336,0.0012472191289246482,0.266,0.0,-0.001666666666666668
50,0.35400000000000004,0.014165686240583845,0.373,0.0,-0.019,0.35400000000000004,0.014165686240583845,0.373,0.0,-0.019
100,0.4083333333333334,0.021638443156156636,0.438,0.0,-0.029666666666666657,0.4083333333333334,0.021638443156156636,0.438,0.0,-0.029666666666666657
200,0.492,0.01902629759044044,0.511,0.0,-0.019,0.492,0.01902629759044044,0.511,0.0,-0.019
500,0.637,0.0,0.637,0.0,0.0,0.637,0.0,0.637,0.0,0.0
