Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.2786666666666667,0.00679869268479036,0.266,0.0,0.01266666666666666,0.2786666666666667,0.00679869268479036,0.266,0.0,0.01266666666666666
50,0.436,0.0029439202887759515,0.373,0.0,0.063,0.436,0.0029439202887759515,0.373,0.0,0.063
100,0.539,0.008602325267042634,0.438,0.0,0.10100000000000003,0.539,0.008602325267042634,0.438,0.0,0.10100000000000003
200,0.6236666666666667,0.024513035081133668,0.511,0.0,0.11266666666666665,0.6236666666666667,0.024513035081133668,0.511,0.0,0.11266666666666665
500,0.6999999999999998,0.016573070526208038,0.637,0.0,0.06299999999999999,0.6999999999999998,0.016573070526208038,0.637,0.0,0.06299999999999999
