Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.274,0.0028284271247461927,0.266,0.0,0.008000000000000007,0.274,0.0028284271247461927,0.266,0.0,0.008000000000000007
50,0.416,0.0014142135623730963,0.373,0.0,0.04299999999999998,0.416,0.0014142135623730963,0.373,0.0,0.04299999999999998
100,0.498,0.0035590260840104404,0.438,0.0,0.06,0.498,0.0035590260840104404,0.438,0.0,0.06
200,0.5976666666666667,0.004496912521077351,0.511,0.0,0.08666666666666663,0.5976666666666667,0.004496912521077351,0.511,0.0,0.08666666666666663
500,0.6896666666666667,0.002494438257849257,0.637,0.0,0.05266666666666664,0.6896666666666667,0.002494438257849257,0.637,0.0,0.05266666666666664
