Budget,Oracle MLP Mean,Oracle MLP Std,Oracle PPR Mean,Oracle PPR Std,Oracle Delta,Realistic MLP Mean,Realistic MLP Std,Realistic PPR Mean,Realistic PPR Std,Realistic Delta
10,0.063,0.007071067811865478,0.405,0.0,-0.342,0.063,0.007071067811865478,0.405,0.0,-0.342
50,0.137,0.018991226044325484,0.515,0.0,-0.37799999999999995,0.137,0.018991226044325484,0.515,0.0,-0.37799999999999995
100,0.26533333333333337,0.014659088951530695,0.565,0.0,-0.2996666666666666,0.26533333333333337,0.014659088951530695,0.565,0.0,-0.2996666666666666
200,0.448,0.007483314773547889,0.623,0.0,-0.17499999999999996,0.448,0.007483314773547889,0.623,0.0,-0.17499999999999996
500,0.6783333333333333,0.012229290885229388,0.698,0.0,-0.01966666666666661,0.6783333333333333,0.012229290885229388,0.698,0.0,-0.01966666666666661
