Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PIVOT-Seed1234,0.01,0.541408 ± 0.000000,0.49665,0.62508,72829.86,2408.34,20002.56,46579.01,12.741403079076278,78.48429201978419,159.36
WN18RR,PIVOT-Seed1234,0.05,0.564959 ± 0.000000,0.513082,0.664965,97455.87,3281.75,46690.69,42895.3,17.04966235129461,58.65218790822965,722.5
WN18RR,PIVOT-Seed1234,0.1,0.564754 ± 0.000000,0.512763,0.663689,157351.48,4656.24,101426.72,45956.8,27.528250524842548,36.32631863392705,1469.79
WN18RR,PIVOT-Seed1234,0.2,0.560086 ± 0.000000,0.508137,0.657307,273097.93,8052.71,206818.16,51135.39,47.7778044086774,20.93022089182441,3129.51
