budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.541408,0.49665,0.62508,72829.86,2408.34,20002.56,46579.01,159.36,1276.7725613117218,0,78.48429201978419,12.741403079076278
0.05,0.564959,0.513082,0.664965,97455.87,3281.75,46690.69,42895.3,722.5,1292.7500228881836,0,58.65218790822965,17.04966235129461
0.1,0.564754,0.512763,0.663689,157351.48,4656.24,101426.72,45956.8,1469.79,1364.0246367454529,0,36.32631863392705,27.528250524842548
0.2,0.560086,0.508137,0.657307,273097.93,8052.71,206818.16,51135.39,3129.51,1501.0158035755157,0,20.93022089182441,47.7778044086774
