budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.542668,0.498245,0.627154,71099.4,2630.33,19846.23,44047.53,160.37,708.2422609329224,42,42.67265265248371,23.434212261041527
0.05,0.565212,0.512923,0.66305,113774.96,3532.95,58365.66,47053.33,730.13,725.5246939659119,42,26.66667604189885,37.49998681608438
0.1,0.564636,0.512125,0.663529,195551.84,5378.06,126632.69,57773.79,1487.09,823.1215724945068,42,15.515067513555485,64.45347396176665
0.2,0.561243,0.509572,0.656031,324736.0,8010.85,258461.97,50859.15,3163.93,959.8453984260559,42,9.342973985021679,107.0323005932762
