Dataset,Phương pháp,Budget,Test MRR (Mean ± Std),H@1 (Mean),H@10 (Mean),eval_total (ms),data_prep (ms),forward (ms),ranking (ms),Latency / query (ms),Throughput (q/s),Peak GPU Mem (MB)
WN18RR,PPR-only,0.01,0.541240 ± 0.000000,0.496171,0.62508,65806.58,2358.4,18672.92,40947.85,21.689709953856298,46.104812011200096,160.37
WN18RR,PPR-only,0.05,0.565047 ± 0.000000,0.513401,0.664965,106192.63,3384.16,55871.4,42452.94,35.00086684245221,28.57072096246227,730.13
WN18RR,PPR-only,0.1,0.564967 ± 0.000000,0.513242,0.663689,178727.61,4897.48,121585.02,46863.12,58.90824324324324,16.97555290981623,1487.09
WN18RR,PPR-only,0.2,0.560476 ± 0.000000,0.508775,0.657307,325899.04,8308.14,260300.6,49411.99,107.4156361239288,9.30963159633732,3163.93
