budget,MRR,Hits@1,Hits@10,eval_total_ms,data_prep_ms,forward_ms,ranking_ms,peak_gpu_mem_mb,wall_clock_s,seed,throughput_qps,latency_per_query_ms
0.01,0.542637,0.498245,0.626994,68844.96,2686.49,20256.58,41922.6,159.36,1272.7644927501678,0,83.02713807953407,12.044254723582926
0.05,0.565066,0.512604,0.662891,100257.75,3353.7,47806.07,44437.52,722.5,1297.156168937683,0,57.01304886654648,17.539844296710985
0.1,0.564407,0.511806,0.663369,163509.38,4811.91,103209.82,50041.25,1469.79,1360.2972133159637,0,34.958239093072216,28.605559832050385
0.2,0.561065,0.509413,0.656031,277555.27,7746.13,214775.96,47721.6,3129.51,1476.6541011333466,0,20.59409644788946,48.55760496850945
